id,weight,value
0,92,2
1,6,2
2,2,2
3,3,5
4,5,3
5,16,2
6,2,10
7,37,4
8,19,2
9,33,2
10,2,3
11,2,2
12,50,2
13,5,2
14,6,4
15,6,3
16,4,3
17,10,4
18,2,3
19,4,3
20,2,7
21,2,8
22,12,2
23,16,6
24,2,2
25,7,2
26,4,3
27,14,2
28,18,31
29,5,8
30,3,2
31,2,2
32,2,5
33,27,3
34,2,4
35,2,2
36,2,4
37,2,3
38,2,1000
39,3,2
40,2,5
41,5,3
42,2,2
43,2,13
44,7,6
45,2,4
46,128,3
47,2,3
48,25,2
49,2,2
50,2,7
51,2,4
52,3,8
53,2,2
54,2,9
55,41,68
56,2,2
57,3,2
58,3,3
59,3,2
60,5,2
61,2,2
62,10,6
63,2,2
64,2,22
65,4,4
66,3,2
67,12,52
68,5,4
69,6,6
70,2,2
71,2,3
72,7,44
73,2,6
74,75,2
75,2,2
76,2,2
77,7,19
78,4,2
79,13,8
80,5,2
81,45,3
82,2,6
83,2,2
84,11,2
85,3,4
86,2,2
87,3,19
88,35,22
89,4,7
90,2,6
91,4,2
92,3,21
93,31,16
94,2,21
95,3,6
96,7,2
97,2,90
98,192,10
99,5,3
100,2,4
101,2,2
102,2,7
103,5,29
104,3,4
105,2,9
106,2,2
107,2,2
108,3,2
109,8,2
110,2,3
111,4,3
112,2,2
113,4,3
114,2,2
115,2,63
116,2,2
117,2,7
118,2,4
119,100,3
120,2,8
121,10,2
122,2,3
123,5,2
124,2,2
125,2,2
126,19,6
127,8,65
128,3,2
129,189,5
130,2,3
131,2,3
132,2,8
133,3,2
134,19,2
135,3,2
136,5,2
137,5,2
138,4,3
139,14,3
140,14,2
141,2,30
142,500,5
143,117,13
144,3,3
145,85,2
146,2,2
147,2,5
148,2,152
149,3,2
150,2,3
151,5,5
152,3,2
153,500,4
154,3,3
155,2,2
156,2,4
157,13,126
158,3,4
159,2,3
160,2,2
161,5,16
162,4,4
163,4,2
164,15,2
165,2,2
166,2,2
167,3,9
168,2,4
169,23,3
170,9,16
171,2,5
172,6,2
173,2,6
174,4,4
175,2,2
176,5,3
177,2,52
178,2,4
179,2,4
180,2,3
181,24,4
182,2,3
183,9,8
184,2,6
185,2,6
186,3,2
187,2,9
188,3,4
189,5,5
190,2,5
191,4,3
192,3,2
193,13,2
194,4,59
195,5,6
196,2,2
197,2,2
198,2,1000
199,22,2
200,2,4
201,4,3
202,4,2
203,10,3
204,4,3
205,20,2
206,2,142
207,4,27
208,2,2
209,2,2
210,4,2
211,2,2
212,2,2
213,11,11
214,2,22
215,4,4
216,3,14
217,5,82
218,13,3
219,7,2
220,2,203
221,2,4
222,5,2
223,2,2
224,2,3
225,4,2
226,2,3
227,6,22
228,10,8
229,2,3
230,2,2
231,2,4
232,4,2
233,4,15
234,3,2
235,5,3
236,4,33
237,2,3
238,4,29
239,2,4
240,7,2
241,2,8
242,130,5
243,2,3
244,32,2
245,2,4
246,2,5
247,22,5
248,2,2
249,7,3
250,2,8
251,2,4
252,80,2
253,4,4
254,2,6
255,2,2
256,2,10
257,2,2
258,2,2
259,3,2
260,2,15
261,3,3
262,4,2
263,2,3
264,2,3
265,2,3
266,2,2
267,2,2
268,3,2
269,3,3
270,20,3
271,20,2
272,2,4
273,8,4
274,2,12
275,16,14
276,2,4
277,2,2
278,4,9
279,2,2
280,18,3
281,12,2
282,4,2
283,3,3
284,2,2
285,16,7
286,21,25
287,2,11
288,13,875
289,3,4
290,3,3
291,2,2
292,5,8
293,19,2
294,2,2
295,2,4
296,3,7
297,5,7
298,2,2
299,2,2
300,3,3
301,4,2
302,3,2
303,3,52
304,3,4
305,2,2
306,2,2
307,14,2
308,2,3
309,3,3
310,2,2
311,2,2
312,49,2
313,3,2
314,3,4
315,2,4
316,3,2
317,2,4
318,17,224
319,2,6
320,69,2
321,5,2
322,34,9
323,2,11
324,39,2
325,2,2
326,4,4
327,4,11
328,3,28
329,3,2
330,11,5
331,54,8
332,5,2
333,2,4
334,2,3
335,500,2
336,2,3
337,42,4
338,2,5
339,2,4
340,19,2
341,13,2
342,13,7
343,2,2
344,7,15
345,3,4
346,22,2
347,2,2
348,2,2
349,2,10
350,2,7
351,3,3
352,3,3
353,3,4
354,2,2
355,3,2
356,2,2
357,83,29
358,500,80
359,2,3
360,3,11
361,4,6
362,2,4
363,102,4
364,2,3
365,5,2
366,2,4
367,4,3
368,2,16
369,8,8
370,3,2
371,2,4
372,3,7
373,2,16
374,3,2
375,2,10
376,6,2
377,3,2
378,2,6
379,2,4
380,24,2
381,7,3
382,3,2
383,2,2
384,16,2
385,2,3
386,2,20
387,2,5
388,21,3
389,2,4
390,39,2
391,2,22
392,4,2
393,57,22
394,3,2
395,2,15
396,2,3
397,2,3
398,5,2
399,13,12
400,3,45
401,10,3
402,11,14
403,2,2
404,2,2
405,23,2
406,3,14
407,7,2
408,2,2
409,2,2
410,7,2
411,3,9
412,2,2
413,3,3
414,3,4
415,2,2
416,2,3
417,2,3
418,3,66
419,2,3
420,4,7
421,2,3
422,4,2
423,12,13
424,4,5
425,6,2
426,2,3
427,2,4
428,3,3
429,5,2
430,2,10
431,2,4
432,4,3
433,4,8
434,2,5
435,7,2
436,3,2
437,2,2
438,175,2
439,5,3
440,4,9
441,2,2
442,500,2
443,2,2
444,211,3
445,2,24
446,12,2
447,2,210
448,8,10
449,2,6
450,2,2
451,7,2
452,12,2
453,4,4
454,3,2
455,2,2
456,3,2
457,7,3
458,2,5
459,3,7
460,3,3
461,3,3
462,2,24
463,5,4
464,2,2
465,2,3
466,2,9
467,5,3
468,2,2
469,24,2
470,2,3
471,4,3
472,14,2
473,2,57
474,2,3
475,2,6
476,2,2
477,80,2
478,19,4
479,4,2
480,2,2
481,28,2
482,8,4
483,15,2
484,21,2
485,3,2
486,2,2
487,2,2
488,24,2
489,2,2
490,6,2
491,2,4
492,4,4
493,2,2
494,3,4
495,2,2
496,2,3
497,2,3
498,59,314
499,17,2
