id,weight,value
0,3,5
1,2,3
2,107,7
3,10,7
4,4,6
5,9,2
6,4,8
7,2,2
8,2,3
9,4,487
10,2,4
11,9,5
12,9,12
13,5,3
14,4,2
15,2,2
16,2,7
17,57,13
18,2,5
19,2,26
20,2,2
21,2,3
22,2,2
23,12,2
24,4,2
25,2,2
26,8,4
27,2,3
28,2,2
29,4,2
30,102,2
31,62,9
32,4,3
33,5,2
34,2,2
35,2,5
36,2,5
37,2,2
38,44,8
39,2,2
40,10,7
41,3,2
42,10,2
43,2,2
44,7,18
45,8,7
46,7,2
47,2,7
48,23,8
49,2,5
50,9,2
51,2,3
52,3,2
53,2,2
54,2,2
55,3,3
56,6,2
57,2,2
58,2,5
59,2,2
60,22,2
61,6,3
62,2,3
63,3,3
64,3,2
65,3,2
66,5,2
67,3,3
68,3,13
69,7,29
70,2,2
71,2,3
72,3,2
73,51,2
74,3,4
75,3,2
76,2,5
77,9,2
78,3,2
79,2,2
80,2,13
81,11,108
82,4,2
83,19,2
84,2,6
85,2,2
86,5,18
87,5,2
88,3,3
89,2,2
90,2,12
91,11,4
92,2,3
93,19,13
94,2,3
95,2,3
96,2,5
97,2,2
98,7,3
99,2,6
100,500,3
101,2,2
102,28,3
103,3,4
104,2,7
105,2,2
106,12,26
107,3,2
108,2,2
109,2,4
110,30,2
111,2,2
112,2,4
113,3,2
114,3,2
115,3,2
116,18,2
117,3,3
118,20,2
119,10,13
120,3,5
121,2,2
122,2,2
123,12,3
124,2,27
125,3,58
126,3,9
127,4,2
128,2,4
129,2,2
130,2,2
131,2,6
132,2,8
133,2,2
134,19,2
135,4,2
136,2,162
137,3,3
138,3,6
139,7,7
140,2,2
141,2,2
142,3,2
143,2,15
144,2,5
145,2,2
146,31,7
147,71,2
148,2,132
149,2,2
150,2,2
151,3,6
152,2,2
153,156,2
154,20,2
155,2,2
156,32,11
157,169,2
158,2,14
159,35,10
160,11,38
161,10,3
162,9,4
163,4,4
164,5,4
165,7,8
166,7,2
167,3,2
168,7,3
169,266,4
170,3,2
171,2,4
172,45,5
173,6,2
174,10,10
175,6,11
176,21,3
177,2,2
178,3,2
179,3,23
180,4,3
181,4,4
182,2,2
183,4,2
184,2,2
185,4,4
186,4,2
187,29,43
188,2,2
189,2,2
190,2,2
191,60,4
192,30,5
193,3,2
194,2,119
195,2,3
196,5,1000
197,2,5
198,4,2
199,5,3
200,4,2
201,7,2
202,3,2
203,2,4
204,3,3
205,4,2
206,24,2
207,3,818
208,4,32
209,2,22
210,5,4
211,16,4
212,3,2
213,4,3
214,19,2
215,2,44
216,5,2
217,4,4
218,9,6
219,8,4
220,4,2
221,3,2
222,5,6
223,2,4
224,2,7
225,23,4
226,5,2
227,4,2
228,3,2
229,3,2
230,8,2
231,2,2
232,4,2
233,3,7
234,7,3
235,19,2
236,11,2
237,2,3
238,2,2
239,2,4
240,2,2
241,13,2
242,33,12
243,30,6
244,2,2
245,4,22
246,3,2
247,3,2
248,33,2
249,2,2
250,2,2
251,4,2
252,7,31
253,2,2
254,2,2
255,3,2
256,2,2
257,7,30
258,2,65
259,2,3
260,8,2
261,3,187
262,29,2
263,4,2
264,2,3
265,97,4
266,2,2
267,2,3
268,2,2
269,2,15
270,2,2
271,3,3
272,27,3
273,2,2
274,3,8
275,2,3
276,13,2
277,2,37
278,2,2
279,4,2
280,5,3
281,2,4
282,2,5
283,8,4
284,500,7
285,2,40
286,3,3
287,8,25
288,7,2
289,5,128
290,4,2
291,2,2
292,9,2
293,8,2
294,6,3
295,15,2
296,2,3
297,3,18
298,2,7
299,11,32
300,21,2
301,22,2
302,4,2
303,8,2
304,2,2
305,8,2
306,2,2
307,3,2
308,2,2
309,3,11
310,6,38
311,151,4
312,2,2
313,3,7
314,122,8
315,2,2
316,2,2
317,3,3
318,2,3
319,13,7
320,2,4
321,13,3
322,2,20
323,2,2
324,3,3
325,6,2
326,4,2
327,3,4
328,5,2
329,109,3
330,6,2
331,6,2
332,2,2
333,24,12
334,4,2
335,8,2
336,4,2
337,3,2
338,2,4
339,13,2
340,3,2
341,3,2
342,7,2
343,3,3
344,14,3
345,69,81
346,13,2
347,3,3
348,2,4
349,31,4
350,5,2
351,11,2
352,2,3
353,3,7
354,11,2
355,2,2
356,2,21
357,9,35
358,2,56
359,9,3
360,29,10
361,5,2
362,2,10
363,2,10
364,2,5
365,2,3
366,2,152
367,2,12
368,5,4
369,2,2
370,2,3
371,2,2
372,2,3
373,2,2
374,47,2
375,2,3
376,5,2
377,3,7
378,2,110
379,4,17
380,2,5
381,33,2
382,2,27
383,3,4
384,2,16
385,2,3
386,2,2
387,66,9
388,6,6
389,2,2
390,2,2
391,39,2
392,2,51
393,3,2
394,3,3
395,21,2
396,3,2
397,24,2
398,2,2
399,2,29
400,2,2
401,3,100
402,3,2
403,2,3
404,12,36
405,2,2
406,11,3
407,6,3
408,2,11
409,4,2
410,5,7
411,2,2
412,2,4
413,3,2
414,2,2
415,2,2
416,2,3
417,5,3
418,4,70
419,2,2
420,3,2
421,2,10
422,3,2
423,3,5
424,2,4
425,2,601
426,6,2
427,8,2
428,10,2
429,2,2
430,31,36
431,2,12
432,6,2
433,4,3
434,2,2
435,2,3
436,33,4
437,4,2
438,4,7
439,2,2
440,3,3
441,2,4
442,2,11
443,2,3
444,4,2
445,2,4
446,2,44
447,2,3
448,3,9
449,3,3
450,5,3
451,3,31
452,2,2
453,6,18
454,3,70
455,2,54
456,2,120
457,3,53
458,7,177
459,2,3
460,373,5
461,2,2
462,2,2
463,2,2
464,2,2
465,2,2
466,2,3
467,2,6
468,54,4
469,8,3
470,3,12
471,5,2
472,4,12
473,2,2
474,2,3
475,38,2
476,2,6
477,2,4
478,2,2
479,2,3
480,5,3
481,3,4
482,3,2
483,4,2
484,2,2
485,2,4
486,3,9
487,11,5
488,7,3
489,3,9
490,5,29
491,6,4
492,2,3
493,2,14
494,10,2
495,8,3
496,5,2
497,2,3
498,2,7
499,7,3
