id,weight,value
0,369,160
1,227,782
2,253,414
3,154,414
4,351,581
5,373,643
6,430,392
7,86,360
8,287,615
9,266,273
10,253,560
11,436,468
12,258,595
13,233,246
14,256,564
15,166,425
16,209,366
17,213,574
18,226,333
19,284,492
20,313,263
21,334,429
22,129,528
23,140,222
24,199,322
25,333,526
26,290,648
27,258,609
28,324,524
29,158,649
30,160,668
31,267,621
32,257,441
33,410,379
34,404,598
35,243,857
36,293,592
37,317,554
38,191,667
39,348,376
40,289,530
41,237,251
42,465,647
43,154,566
44,292,502
45,294,81
46,79,567
47,289,509
48,271,558
49,325,458
