id,weight,value
0,45,988
1,493,11
2,441,580
3,230,643
4,479,620
5,233,56
6,157,138
7,227,302
8,419,895
9,425,348
10,280,351
11,118,824
12,118,279
13,140,352
14,218,338
15,191,492
16,305,896
17,112,446
18,162,702
19,389,681
20,214,653
21,16,567
22,371,72
23,309,645
24,266,112
25,315,732
26,246,786
27,391,940
28,103,327
29,480,510
30,29,187
31,9,861
32,476,556
33,21,75
34,118,152
35,357,426
36,82,18
37,472,26
38,445,170
39,453,652
40,464,564
41,15,217
42,203,514
43,414,857
44,266,574
45,61,940
46,29,279
47,152,802
48,234,508
49,385,496
