id,weight,value
0,150,150
1,57,157
2,117,965
3,372,14
4,330,472
5,492,840
6,197,461
7,272,449
8,453,964
9,167,46
10,473,217
11,331,905
12,480,303
13,182,11
14,448,102
15,178,292
16,150,914
17,125,750
18,496,444
19,130,848
20,237,727
21,500,450
22,271,874
23,6,677
24,168,59
25,234,635
26,347,626
27,473,258
28,86,255
29,129,67
30,140,619
31,467,970
32,24,83
33,210,671
34,205,251
35,182,535
36,174,67
37,93,229
38,481,470
39,235,135
40,499,500
41,1,21
42,188,245
43,474,427
44,467,679
45,422,394
46,51,361
47,32,253
48,193,756
49,13,858
50,384,365
51,232,615
52,205,519
53,452,856
54,149,202
55,448,171
56,268,843
57,225,892
58,398,118
59,171,579
60,475,428
61,280,982
62,92,592
63,85,899
64,239,298
65,415,993
66,117,538
67,65,326
68,145,807
69,489,40
70,99,475
71,428,688
72,411,809
73,454,952
74,36,70
75,174,226
76,425,948
77,479,185
78,140,790
79,358,78
80,243,543
81,273,137
82,364,601
83,380,21
84,337,380
85,67,529
86,194,293
87,179,656
88,193,71
89,235,174
90,157,923
91,63,541
92,178,70
93,67,925
94,32,631
95,322,898
96,306,12
97,166,240
98,144,172
99,24,964
100,414,975
101,47,916
102,131,203
103,370,499
104,321,502
105,238,147
106,389,984
107,85,935
108,292,276
109,474,58
110,6,514
111,60,445
112,254,771
113,442,472
114,181,520
115,27,508
116,309,902
117,197,585
118,111,98
119,323,815
120,284,952
121,290,813
122,345,962
123,410,473
124,257,993
125,358,647
126,407,777
127,396,686
128,171,319
129,417,720
130,312,587
131,136,486
132,423,544
133,407,380
134,213,332
135,468,423
136,301,156
137,258,71
138,131,114
139,346,316
140,83,820
141,156,351
142,33,728
143,170,482
144,461,199
145,35,749
146,99,108
147,323,555
148,134,391
149,498,888
150,55,201
151,319,790
152,143,774
153,95,642
154,192,503
155,314,432
156,433,200
157,404,298
158,8,982
159,338,506
160,219,122
161,158,794
162,469,782
163,313,50
164,180,91
165,285,754
166,290,386
167,322,5
168,153,147
169,263,972
170,329,412
171,329,797
172,299,376
173,440,751
174,484,645
175,221,940
176,127,740
177,439,129
178,297,343
179,147,800
180,476,307
181,192,376
182,402,543
183,159,994
184,109,316
185,114,437
186,277,773
187,61,451
188,201,564
189,315,72
190,269,709
191,311,830
192,87,925
193,70,114
194,120,226
195,192,293
196,466,668
197,297,291
198,40,334
199,340,123
