id,weight,value
0,45,988
1,493,11
2,441,580
3,230,643
4,479,620
5,233,56
6,157,138
7,227,302
8,419,895
9,425,348
10,280,351
11,118,824
12,118,279
13,140,352
14,218,338
15,191,492
16,305,896
17,112,446
18,162,702
19,389,681
20,214,653
21,16,567
22,371,72
23,309,645
24,266,112
25,315,732
26,246,786
27,391,940
28,103,327
29,480,510
30,29,187
31,9,861
32,476,556
33,21,75
34,118,152
35,357,426
36,82,18
37,472,26
38,445,170
39,453,652
40,464,564
41,15,217
42,203,514
43,414,857
44,266,574
45,61,940
46,29,279
47,152,802
48,234,508
49,385,496
50,96,702
51,466,530
52,310,205
53,429,970
54,119,339
55,203,43
56,128,47
57,115,935
58,415,429
59,328,552
60,464,251
61,390,149
62,175,477
63,113,969
64,223,489
65,334,42
66,146,79
67,320,944
68,16,70
69,229,189
70,206,59
71,185,822
72,488,650
73,106,712
74,139,116
75,2,976
76,134,654
77,396,782
78,302,668
79,203,332
80,210,825
81,157,741
82,447,462
83,325,680
84,409,64
85,258,259
86,367,173
87,319,931
88,490,847
89,382,313
90,48,678
91,193,978
92,30,699
93,494,729
94,65,35
95,484,811
96,485,649
97,203,38
98,97,905
99,24,220
