id,weight,value
0,278,472
1,171,414
2,316,748
3,173,549
4,296,351
5,278,301
6,317,631
7,263,701
8,266,382
9,362,563
10,400,407
11,261,506
12,57,717
13,378,416
14,299,478
15,199,288
16,431,550
17,249,631
18,293,606
19,196,601
20,338,323
21,371,668
22,307,763
23,313,294
24,212,716
25,348,476
26,330,531
27,163,718
28,138,208
29,280,286
30,262,764
31,160,807
32,285,344
33,62,111
34,341,442
35,274,690
36,408,332
37,396,251
38,251,458
39,242,244
40,141,478
41,97,712
42,143,750
43,316,367
44,379,546
45,188,762
46,264,514
47,154,337
48,216,688
49,290,699
50,305,566
51,258,664
52,353,245
53,149,678
54,262,488
55,115,407
56,340,458
57,314,544
58,212,149
59,100,576
60,244,507
61,290,585
62,179,493
63,254,497
64,234,437
65,200,504
66,193,604
67,340,699
68,166,254
69,325,444
70,304,437
71,352,220
72,177,714
73,376,396
74,375,288
75,298,444
76,433,578
77,224,212
78,176,664
79,242,429
80,294,583
81,150,431
82,337,320
83,323,366
84,286,689
85,309,543
86,205,790
87,328,539
88,219,638
89,267,456
90,240,570
91,482,445
92,176,684
93,175,734
94,259,649
95,226,412
96,285,441
97,362,474
98,266,498
99,206,437
100,338,432
101,391,665
102,212,427
103,255,621
104,288,659
105,262,404
106,286,642
107,229,383
108,133,818
109,151,300
110,186,312
111,292,700
112,295,451
113,312,551
114,75,258
115,166,466
116,124,431
117,175,512
118,248,367
119,175,467
120,65,176
121,265,538
122,155,585
123,280,247
124,269,684
125,163,508
126,236,421
127,257,738
128,321,715
129,322,344
130,239,456
131,301,698
132,143,203
133,228,583
134,411,496
135,250,444
136,260,682
137,180,442
138,243,673
139,209,586
140,259,636
141,277,287
142,406,877
143,277,355
144,351,574
145,134,380
146,419,519
147,142,580
148,476,500
149,385,466
150,231,446
151,289,158
152,183,344
153,277,210
154,99,233
155,282,458
156,172,434
157,238,896
158,378,544
159,68,516
160,230,465
161,197,487
162,374,598
163,189,330
164,305,610
165,301,771
166,319,599
167,470,619
168,197,512
169,224,490
170,339,336
171,79,692
172,332,331
173,126,391
174,236,761
175,222,476
176,262,302
177,264,611
178,444,408
179,340,465
180,233,532
181,325,496
182,223,648
183,190,572
184,252,451
185,249,610
186,215,602
187,105,670
188,194,579
189,241,788
190,217,227
191,87,729
192,288,440
193,203,312
194,217,492
195,143,291
196,204,334
197,276,387
198,321,864
199,122,650
200,133,602
201,130,479
202,179,432
203,187,384
204,186,388
205,252,300
206,272,834
207,270,240
208,243,478
209,99,423
210,296,462
211,203,462
212,298,123
213,306,733
214,97,616
215,307,487
216,104,636
217,358,516
218,237,552
219,216,489
220,20,585
221,338,416
222,334,324
223,240,380
224,220,600
225,222,520
226,129,452
227,322,752
228,223,320
229,281,795
230,292,553
231,207,105
232,142,200
233,175,334
234,225,445
235,144,328
236,227,295
237,277,356
238,199,205
239,210,693
240,253,591
241,316,617
242,211,211
243,179,565
244,286,568
245,350,388
246,218,27
247,253,169
248,163,745
249,324,565
250,330,436
251,375,256
252,112,280
253,316,476
254,249,443
255,145,400
256,297,816
257,316,516
258,331,570
259,298,396
260,266,303
261,142,114
262,180,567
263,226,464
264,282,752
265,155,425
266,201,441
267,221,533
268,291,430
269,196,357
270,304,587
271,310,673
272,237,229
273,355,586
274,78,555
275,183,589
276,331,669
277,357,872
278,253,379
279,166,393
280,233,470
281,211,529
282,138,298
283,162,806
284,154,584
285,85,697
286,158,189
287,206,411
288,260,159
289,251,316
290,278,319
291,321,730
292,229,866
293,330,204
294,230,134
295,311,583
296,236,718
297,228,703
298,277,456
299,255,631
300,179,578
301,173,519
302,248,581
303,214,660
304,269,320
305,247,254
306,444,711
307,323,531
308,320,636
309,294,689
310,198,499
311,156,286
312,337,381
313,281,723
314,218,538
315,196,739
316,255,616
317,224,715
318,239,84
319,264,297
320,174,849
321,197,624
322,240,309
323,229,607
324,400,788
325,300,278
326,78,725
327,209,773
328,60,417
329,265,649
330,282,776
331,114,381
332,261,273
333,323,670
334,234,447
335,268,247
336,340,839
337,355,672
338,208,375
339,270,503
340,188,490
341,151,413
342,206,354
343,256,821
344,32,812
345,235,654
346,162,270
347,215,274
348,247,820
349,278,355
350,213,516
351,399,723
352,245,581
353,325,488
354,340,266
355,286,173
356,276,429
357,273,458
358,105,481
359,107,479
360,238,105
361,167,723
362,264,211
363,161,574
364,113,556
365,397,404
366,186,780
367,230,610
368,111,483
369,178,536
370,375,230
371,113,352
372,237,709
373,272,399
374,362,271
375,247,156
376,275,651
377,240,171
378,373,712
379,210,476
380,298,545
381,291,509
382,334,308
383,355,677
384,167,533
385,225,372
386,77,490
387,181,257
388,394,330
389,364,623
390,226,666
391,304,621
392,232,504
393,303,358
394,261,241
395,327,748
396,321,661
397,124,683
398,334,516
399,312,154
400,154,594
401,291,521
402,279,375
403,344,220
404,262,567
405,260,818
406,305,526
407,269,633
408,323,672
409,202,580
410,155,486
411,198,607
412,253,470
413,257,433
414,311,396
415,294,349
416,182,450
417,189,651
418,140,782
419,137,378
420,230,297
421,285,224
422,174,573
423,205,512
424,379,507
425,194,849
426,297,600
427,150,335
428,252,532
429,151,650
430,228,836
431,305,683
432,371,460
433,429,146
434,237,664
435,395,536
436,255,754
437,151,412
438,222,191
439,175,489
440,359,461
441,361,582
442,457,431
443,176,601
444,395,272
445,252,381
446,370,506
447,271,422
448,174,450
449,404,528
450,268,331
451,298,490
452,231,147
453,207,734
454,163,541
455,106,396
456,191,330
457,252,547
458,210,224
459,350,429
460,268,522
461,377,582
462,63,728
463,355,240
464,158,697
465,173,705
466,354,433
467,176,352
468,297,405
469,169,441
470,354,663
471,292,543
472,277,765
473,315,380
474,379,460
475,120,591
476,336,290
477,434,600
478,319,309
479,296,569
480,262,419
481,274,403
482,478,337
483,403,239
484,336,445
485,325,491
486,191,432
487,367,239
488,347,855
489,378,433
490,165,532
491,355,642
492,295,541
493,215,308
494,155,664
495,265,452
496,239,221
497,322,590
498,408,485
499,358,892
