id,weight,value
0,2,2
1,2,6
2,2,7
3,4,2
4,2,101
5,2,6
6,5,18
7,62,2
8,2,2
9,2,7
10,2,10
11,3,2
12,2,3
13,3,2
14,2,4
15,3,7
16,2,2
17,4,2
18,2,2
19,14,3
20,5,4
21,16,2
22,9,2
23,11,2
24,2,3
25,2,47
26,2,5
27,2,8
28,4,2
29,2,4
30,2,2
31,2,6
32,4,2
33,91,7
34,2,3
35,8,16
36,3,2
37,12,3
38,61,3
39,2,11
40,5,3
41,22,4
42,2,2
43,4,4
44,4,2
45,2,2
46,2,2
47,27,4
48,2,2
49,6,2
50,2,3
51,2,97
52,2,9
53,2,2
54,4,6
55,2,2
56,5,2
57,2,9
58,12,4
59,2,105
60,2,7
61,3,459
62,2,2
63,4,5
64,2,3
65,8,11
66,5,3
67,6,3
68,2,2
69,2,5
70,2,2
71,2,3
72,2,4
73,2,19
74,16,2
75,13,3
76,37,2
77,6,2
78,2,2
79,7,2
80,3,5
81,4,2
82,2,2
83,54,5
84,6,2
85,3,10
86,2,3
87,3,2
88,2,2
89,3,2
90,3,2
91,59,2
92,3,10
93,2,2
94,2,2
95,2,8
96,2,3
97,2,2
98,3,2
99,2,2
100,2,2
101,7,84
102,5,8
103,2,2
104,2,4
105,20,2
106,2,3
107,2,5
108,5,5
109,7,269
110,4,2
111,2,3
112,2,2
113,5,5
114,11,2
115,5,2
116,86,3
117,10,6
118,2,2
119,48,49
120,2,15
121,8,2
122,2,2
123,4,2
124,2,21
125,2,2
126,6,2
127,14,3
128,2,2
129,2,2
130,3,4
131,2,8
132,23,2
133,3,3
134,83,2
135,6,2
136,2,5
137,18,2
138,30,5
139,5,2
140,10,2
141,2,6
142,4,2
143,2,7
144,3,2
145,351,29
146,3,8
147,2,2
148,30,2
149,4,2
150,2,2
151,2,3
152,2,2
153,9,2
154,2,2
155,3,2
156,4,24
157,2,3
158,4,2
159,5,3
160,11,10
161,4,2
162,3,2
163,4,3
164,2,1000
165,3,29
166,2,7
167,3,2
168,2,2
169,5,2
170,10,3
171,12,3
172,2,3
173,6,8
174,3,2
175,7,26
176,16,2
177,2,4
178,2,2
179,4,5
180,4,4
181,100,2
182,2,4
183,2,4
184,270,3
185,15,2
186,2,3
187,2,7
188,2,5
189,3,2
190,2,10
191,6,4
192,18,7
193,3,3
194,2,12
195,12,30
196,2,6
197,2,2
198,8,4
199,7,2
