id,weight,value
0,2,5
1,2,21
2,2,2
3,3,4
4,10,5
5,7,2
6,3,9
7,2,3
8,6,16
9,2,2
10,3,2
11,2,14
12,2,2
13,2,55
14,3,3
15,3,2
16,18,30
17,2,2
18,3,2
19,15,2
20,2,7
21,13,2
22,4,8
23,13,12
24,2,4
25,2,6
26,2,2
27,3,2
28,2,2
29,362,3
30,34,3
31,2,3
32,3,687
33,2,4
34,18,4
35,3,2
36,2,4
37,2,5
38,3,2
39,5,2
40,2,2
41,2,3
42,2,2
43,2,2
44,56,2
45,2,3
46,6,2
47,4,8
48,6,7
49,2,3
50,11,74
51,2,5
52,2,7
53,2,14
54,2,2
55,2,2
56,9,15
57,2,41
58,3,2
59,3,3
60,7,2
61,3,7
62,2,21
63,22,4
64,2,3
65,3,2
66,5,8
67,2,3
68,3,2
69,2,2
70,6,3
71,3,2
72,3,5
73,29,2
74,5,2
75,2,3
76,3,4
77,8,2
78,8,3
79,2,3
80,2,4
81,3,2
82,2,3
83,2,3
84,2,14
85,2,2
86,7,2
87,17,2
88,2,2
89,4,3
90,2,3
91,2,11
92,2,3
93,2,2
94,500,2
95,11,2
96,5,40
97,3,2
98,6,3
99,500,2
