id,weight,value
0,176,554
1,151,321
2,272,518
3,266,504
4,289,577
5,199,379
6,171,348
7,99,494
8,209,407
9,209,610
10,136,439
11,204,570
12,357,369
13,375,590
14,201,518
15,298,367
16,300,302
17,203,480
18,148,520
19,293,276
20,250,616
21,306,434
22,260,425
23,222,589
24,379,690
25,340,494
26,306,570
27,279,266
28,266,514
29,302,768
30,183,555
31,346,616
32,212,521
33,348,261
34,216,224
35,156,485
36,150,298
37,286,387
38,263,556
39,429,824
40,391,523
41,155,303
42,210,906
43,293,561
44,162,331
45,229,521
46,336,616
47,218,551
48,167,509
49,194,450
50,266,268
51,305,251
52,305,661
53,274,392
54,254,439
55,295,406
56,318,750
57,269,323
58,145,374
59,123,609
60,124,633
61,261,521
62,219,498
63,236,218
64,399,682
65,133,445
66,306,562
67,256,439
68,250,819
69,294,42
70,246,255
71,304,716
72,245,853
73,246,387
74,262,526
75,283,558
76,140,508
77,190,819
78,253,493
79,333,206
80,224,518
81,366,87
82,132,719
83,334,474
84,276,612
85,384,648
86,140,410
87,226,782
88,307,331
89,233,339
90,194,397
91,204,569
92,288,537
93,430,397
94,262,148
95,329,329
96,195,222
97,385,623
98,152,215
99,374,622
100,357,178
101,300,208
102,289,442
103,239,337
104,292,335
105,171,720
106,315,279
107,301,272
108,187,485
109,188,251
110,385,459
111,286,739
112,230,242
113,164,461
114,234,332
115,308,408
116,134,548
117,204,596
118,345,571
119,199,303
120,288,263
121,300,510
122,274,479
123,335,448
124,221,574
125,227,479
126,214,231
127,322,608
128,201,452
129,328,408
130,278,531
131,184,814
132,218,700
133,247,545
134,397,631
135,248,740
136,209,544
137,227,530
138,172,476
139,263,440
140,179,713
141,235,634
142,266,358
143,120,550
144,129,132
145,325,469
146,235,461
147,338,529
148,262,294
149,232,595
150,134,274
151,353,635
152,255,462
153,169,153
154,300,279
155,378,627
156,58,803
157,198,459
158,167,372
159,241,709
160,410,554
161,195,583
162,177,666
163,302,397
164,173,577
165,154,242
166,273,368
167,279,351
168,239,636
169,90,682
170,326,629
171,208,445
172,241,637
173,244,410
174,219,669
175,296,512
176,453,457
177,236,440
178,236,518
179,172,550
180,383,830
181,316,630
182,178,471
183,154,305
184,389,347
185,185,562
186,352,618
187,250,628
188,383,394
189,263,606
190,174,550
191,136,436
192,244,562
193,229,597
194,268,386
195,317,437
196,198,407
197,305,478
198,387,38
199,320,516
200,161,540
201,210,563
202,343,441
203,214,465
204,287,555
205,324,536
206,193,464
207,100,752
208,241,328
209,228,235
210,198,454
211,297,541
212,237,463
213,313,474
214,247,705
215,89,465
216,339,647
217,253,339
218,239,386
219,177,433
220,262,229
221,280,490
222,263,640
223,133,631
224,208,742
225,156,314
226,188,417
227,197,336
228,237,283
229,205,84
230,247,657
231,219,385
232,170,438
233,181,359
234,194,370
235,223,386
236,208,646
237,161,472
238,321,517
239,171,598
240,224,437
241,225,691
242,284,580
243,178,349
244,258,422
245,197,683
246,182,339
247,230,453
248,365,830
249,203,283
