id,weight,value
0,217,619
1,261,267
2,113,170
3,185,281
4,295,243
5,269,278
6,375,511
7,375,336
8,289,549
9,298,397
10,354,380
11,323,701
12,328,439
13,174,400
14,181,620
15,53,468
16,229,555
17,317,337
18,265,737
19,291,406
20,269,512
21,288,705
22,253,531
23,317,185
24,164,263
25,289,614
26,282,414
27,391,329
28,320,856
29,206,767
30,215,649
31,163,562
32,223,528
33,239,441
34,329,519
35,293,529
36,235,576
37,303,605
38,213,654
39,178,445
40,351,557
41,157,450
42,233,363
43,290,338
44,197,819
45,228,583
46,313,582
47,186,718
48,201,415
49,416,482
50,137,537
51,274,546
52,132,440
53,140,631
54,394,168
55,215,484
56,211,695
57,274,91
58,307,704
59,335,359
60,126,846
61,224,146
62,309,794
63,137,592
64,196,345
65,142,525
66,214,763
67,196,688
68,282,606
69,111,617
70,156,495
71,347,635
72,489,521
73,225,403
74,96,401
75,53,582
76,271,387
77,249,747
78,281,658
79,174,572
80,214,671
81,248,819
82,275,605
83,297,705
84,460,283
85,243,530
86,233,458
87,262,517
88,350,637
89,308,486
90,324,700
91,230,477
92,256,421
93,324,425
94,208,478
95,186,723
96,236,358
97,138,615
98,311,426
99,372,653
