id,weight,value
0,81,811
1,222,949
2,177,524
3,125,549
4,37,596
5,183,266
6,466,824
7,496,321
8,365,337
9,311,273
10,88,858
11,80,371
12,316,431
13,298,159
14,39,163
15,267,804
16,243,802
17,283,278
18,40,293
19,239,2
20,434,840
21,204,241
22,359,104
23,429,345
24,7,997
25,69,124
26,134,470
27,290,849
28,335,132
29,376,651
30,469,370
31,201,198
32,420,431
33,361,715
34,117,782
35,200,325
36,116,826
37,100,196
38,237,326
39,434,109
40,484,335
41,97,643
42,149,442
43,47,567
44,410,644
45,405,199
46,188,563
47,291,151
48,365,229
49,127,351
50,231,2
51,43,953
52,319,92
53,190,759
54,127,175
55,4,581
56,11,86
57,479,672
58,268,9
59,83,635
60,431,319
61,305,326
62,229,695
63,343,355
64,151,872
65,488,958
66,485,238
67,369,992
68,301,344
69,170,640
70,487,166
71,353,900
72,440,713
73,229,853
74,37,768
75,201,767
76,155,888
77,181,14
78,137,315
79,18,968
80,390,223
81,289,89
82,144,178
83,241,604
84,337,550
85,145,920
86,295,64
87,108,884
88,247,86
89,309,500
90,29,425
91,51,62
92,151,255
93,144,392
94,215,439
95,337,649
96,37,674
97,271,506
98,121,20
99,112,598
